"Year";"Name";"Location";"Country";"Type";"Status";"Volcano Explosivity Index (VEI)"
"1911";"Piparo";"Trinidad";"Trinidad ";"Mud volcano";"Historical";""
"1911";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1912";"Novarupta";"Alaska Peninsula";"United States";"Caldera";"Historical";"6"
"1912";"Nyamuragira";"Africa-C";"Congo, DRC";"Shield volcano";"Historical";"3"
"1913";"Awu";"Sangihe Is-Indonesia";"Indonesia";"Stratovolcano";"Historical";"2"
"1913";"Semeru";"Java";"Indonesia";"Stratovolcano";"Historical";"2"
"1913";"Ambrym";"Vanuatu-SW Pacific";"Vanuatu";"Pyroclastic shield";"Historical";"3"
"1914";"Sakura-jima";"Kyushu-Japan";"Japan";"Stratovolcano";"Historical";"4"
"1914";"Pago";"New Britain-SW Pac";"Papua New Guinea";"Caldera";"Historical";"3"
"1914";"White Island";"New Zealand";"New Zealand";"Stratovolcano";"Historical";""
"1916";"Tungurahua";"Ecuador";"Ecuador";"Stratovolcano";"Historical";"4"
"1916";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";"3"
"1917";"Lengai, Ol Doinyo";"Africa-E";"Tanzania";"Stratovolcano";"Historical";"3"
"1917";"Okataina";"New Zealand";"New Zealand";"Lava dome";"Historical";"1"
"1917";"San Salvador";"El Salvador";"El Salvador";"Stratovolcano";"Historical";"3"
"1918";"Banua Wuhu";"Sangihe Is-Indonesia";"Indonesia";"Submarine volcano";"Historical";"3"
"1918";"Katla";"Iceland-S";"Iceland";"Subglacial volcano";"Historical";"4"
"1919";"Popocatepetl";"Mexico";"Mexico";"Stratovolcano";"Historical";"1"
"1919";"Banua Wuhu";"Sangihe Is-Indonesia";"Indonesia";"Submarine volcano";"Historical";""
"1919";"Kelut";"Java";"Indonesia";"Stratovolcano";"Historical";"4"
"1919";"Stromboli";"Italy";"Italy";"Stratovolcano";"Historical";"3"
"1919";"Mauna Loa";"Hawaiian Is";"United States";"Shield volcano";"Historical";"0"
"1920";"Merapi";"Java";"Indonesia";"Stratovolcano";"Historical";"3"
"1920";"Izalco";"El Salvador";"El Salvador";"Stratovolcano";"Historical";"3"
"1923";"Papandayan";"Java";"Indonesia";"Stratovolcano";"Historical";"1"
"1923";"Kirishima";"Kyushu-Japan";"Japan";"Shield volcano";"Historical";"2"
